epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,563.995,0.71605,0.39407,0.81548,0.99503,0.99746,0.99463,0.82076,0.74785,0.33647,0.89497,0.00095418,0.00095418,0.00095418
148,567.694,0.78842,0.39974,0.90256,0.99442,0.99736,0.99485,0.81967,0.72072,0.32757,0.88729,0.000953106,0.000953106,0.000953106
149,571.552,0.78963,0.41886,0.89128,0.99738,0.99891,0.99497,0.82537,0.73353,0.33547,0.89052,0.000952032,0.000952032,0.000952032
150,575.645,0.79415,0.40899,0.88104,0.99661,0.99322,0.99495,0.81315,0.76051,0.34769,0.89584,0.000950957,0.000950957,0.000950957
151,579.419,0.7599,0.40236,0.87736,0.99522,0.99778,0.99494,0.82434,0.72441,0.32859,0.8885,0.000949883,0.000949883,0.000949883
152,583.247,0.78669,0.39456,0.88043,0.99419,0.99876,0.99495,0.83159,0.71786,0.32808,0.8838,0.000948809,0.000948809,0.000948809
153,587.23,0.78143,0.39108,0.88814,0.99032,0.99831,0.99496,0.82982,0.70855,0.32646,0.88203,0.000947735,0.000947735,0.000947735
154,590.995,0.73749,0.38385,0.88424,0.99469,0.99759,0.99477,0.82365,0.71884,0.32799,0.88344,0.000946661,0.000946661,0.000946661
155,594.809,0.75391,0.38589,0.87697,0.9959,0.99843,0.99477,0.82289,0.74164,0.33327,0.88804,0.000945587,0.000945587,0.000945587
156,598.504,0.79868,0.40855,0.89296,0.99441,0.99704,0.99369,0.8217,0.74369,0.33215,0.89234,0.000944513,0.000944513,0.000944513
157,602.411,0.79934,0.42451,0.88008,0.99536,0.99844,0.99399,0.82932,0.72635,0.3333,0.88709,0.000943439,0.000943439,0.000943439
158,606.199,0.80962,0.44982,0.88619,0.99257,0.99925,0.99417,0.81181,0.75356,0.33772,0.89663,0.000942365,0.000942365,0.000942365
159,610.037,0.78843,0.40138,0.88006,0.99563,0.9969,0.99478,0.83025,0.72989,0.34171,0.89014,0.00094129,0.00094129,0.00094129
160,613.87,0.81422,0.4039,0.90892,0.99638,0.99603,0.99495,0.82238,0.71621,0.33073,0.88738,0.000940216,0.000940216,0.000940216
161,617.728,0.78768,0.39724,0.90701,0.99474,0.99679,0.99497,0.83176,0.69868,0.32613,0.88097,0.000939142,0.000939142,0.000939142
162,621.569,0.78961,0.40621,0.8908,0.99559,0.99791,0.99497,0.82955,0.71175,0.33294,0.88263,0.000938068,0.000938068,0.000938068
163,625.137,0.75576,0.3946,0.88041,0.9956,0.99632,0.99494,0.83426,0.71149,0.32693,0.88112,0.000936994,0.000936994,0.000936994
164,628.882,0.7737,0.4025,0.88837,0.99431,0.99775,0.9949,0.83308,0.71864,0.32948,0.88302,0.00093592,0.00093592,0.00093592
165,632.946,0.7768,0.38921,0.87913,0.99528,0.99882,0.99495,0.83551,0.7146,0.32307,0.88235,0.000934846,0.000934846,0.000934846
166,636.835,0.77285,0.41634,0.87898,0.99629,0.99683,0.995,0.83406,0.70384,0.32623,0.88144,0.000933772,0.000933772,0.000933772
167,640.606,0.76239,0.39467,0.8935,0.99364,0.99557,0.99499,0.82217,0.76486,0.33602,0.89817,0.000932698,0.000932698,0.000932698
168,644.193,0.68751,0.4003,0.8105,0.9943,0.99441,0.9949,0.83014,0.70715,0.3277,0.88221,0.000931623,0.000931623,0.000931623
169,647.907,0.74086,0.37393,0.87581,0.99226,0.99435,0.99495,0.83403,0.70267,0.32824,0.87999,0.000930549,0.000930549,0.000930549
170,651.817,0.73046,0.37479,0.8955,0.99546,0.99557,0.99498,0.83401,0.69011,0.32526,0.87703,0.000929475,0.000929475,0.000929475
171,655.6,0.78303,0.40777,0.87962,0.99235,0.99887,0.995,0.84503,0.68139,0.32053,0.87506,0.000928401,0.000928401,0.000928401
172,659.684,0.81105,0.41296,0.88469,0.99879,0.99603,0.99488,0.84414,0.66997,0.32069,0.87047,0.000927327,0.000927327,0.000927327
173,663.508,0.76064,0.39361,0.88211,0.98874,0.99899,0.99476,0.81897,0.71776,0.32864,0.88639,0.000926253,0.000926253,0.000926253
174,667.326,0.75857,0.38175,0.88781,0.99658,0.99858,0.99499,0.82453,0.73323,0.33293,0.88586,0.000925179,0.000925179,0.000925179
175,670.885,0.71045,0.42572,0.8798,0.99474,0.99868,0.995,0.84267,0.69023,0.32106,0.87577,0.000924105,0.000924105,0.000924105
176,674.787,0.78654,0.3869,0.91135,0.98905,0.99226,0.99472,0.84481,0.67026,0.31204,0.87188,0.000923031,0.000923031,0.000923031
177,678.561,0.77729,0.38086,0.84644,0.98992,0.99735,0.99432,0.83161,0.70015,0.32397,0.8781,0.000921956,0.000921956,0.000921956
178,682.319,0.77211,0.39219,0.88444,0.99264,0.99755,0.99313,0.84126,0.67875,0.31756,0.87181,0.000920882,0.000920882,0.000920882
